course_id,course_name,course_url,series_id,series_name,class_name,price,start_time,learn_cnt,can_sell_alone,series_status,purchase_status
9067302,微积分初步 动量  动量守恒,https://m.weishi100.com/mweb/single/1/?id=9067302,1389084,电磁 动量三一集训,精品课程,,2023-01-19 13:30,31,否,下架,不能单独购买(需随系列)
9067512,动量和能量,https://m.weishi100.com/mweb/single/1/?id=9067512,1389084,电磁 动量三一集训,精品课程,,2023-01-20 13:30,31,否,下架,不能单独购买(需随系列)
9067585,静电场,https://m.weishi100.com/mweb/single/1/?id=9067585,1389084,电磁 动量三一集训,精品课程,,2023-01-23 13:30,31,否,下架,不能单独购买(需随系列)
9067594,静电场续  直流电路,https://m.weishi100.com/mweb/single/1/?id=9067594,1389084,电磁 动量三一集训,精品课程,,2023-01-24 13:30,31,否,下架,不能单独购买(需随系列)
9067630,直流电路续  磁场,https://m.weishi100.com/mweb/single/1/?id=9067630,1389084,电磁 动量三一集训,精品课程,,2023-01-25 13:30,31,否,下架,不能单独购买(需随系列)
9067697,磁场续  电磁感应,https://m.weishi100.com/mweb/single/1/?id=9067697,1389084,电磁 动量三一集训,精品课程,,2023-01-26 13:30,31,否,下架,不能单独购买(需随系列)
9088411,第十三次 安培力 洛伦兹力,https://m.weishi100.com/mweb/single/1/?id=9088411,1391354,春季4次磁场课,精品课程,1.0,2023-05-07 09:35,1,是,下架,可单独购买
9089434,第十四  带电粒子在磁场中的运动,https://m.weishi100.com/mweb/single/1/?id=9089434,1391354,春季4次磁场课,精品课程,1.0,2023-05-14 09:35,1,是,下架,可单独购买
9091060,第十五次 带电粒子在复合场的运动实例分析,https://m.weishi100.com/mweb/single/1/?id=9091060,1391354,春季4次磁场课,精品课程,1.0,2023-05-28 09:35,1,是,下架,可单独购买
9091910,第十六次 带电粒子的运动 磁场计算复习,https://m.weishi100.com/mweb/single/1/?id=9091910,1391354,春季4次磁场课,精品课程,1.0,2023-06-05 15:30,1,是,下架,可单独购买
9140260,第一节静力学,https://m.weishi100.com/mweb/single/1/?id=9140260,1392992,2024分班考集训冲刺,精品课程,,2024-06-27 19:45,20,否,下架,不能单独购买(需随系列)
9140553,第二次   静力学续  运动学,https://m.weishi100.com/mweb/single/1/?id=9140553,1392992,2024分班考集训冲刺,精品课程,,2024-06-28 19:45,20,否,下架,不能单独购买(需随系列)
9140613,第三节，牛顿运动定律  功和能,https://m.weishi100.com/mweb/single/1/?id=9140613,1392992,2024分班考集训冲刺,精品课程,,2024-06-29 19:45,20,否,下架,不能单独购买(需随系列)
9140783,第四次  热学  密度  压强,https://m.weishi100.com/mweb/single/1/?id=9140783,1392992,2024分班考集训冲刺,精品课程,,2024-06-30 11:40,20,否,下架,不能单独购买(需随系列)
9141251,第五次 浮力  ,https://m.weishi100.com/mweb/single/1/?id=9141251,1392992,2024分班考集训冲刺,精品课程,,2024-06-30 19:45,20,否,下架,不能单独购买(需随系列)
9141734,第六次 直流电    磁场  电磁感应,https://m.weishi100.com/mweb/single/1/?id=9141734,1392992,2024分班考集训冲刺,精品课程,,2024-07-01 19:45,20,否,下架,不能单独购买(需随系列)
9142140,第七次  磁场    光学,https://m.weishi100.com/mweb/single/1/?id=9142140,1392992,2024分班考集训冲刺,精品课程,,2024-07-02 19:45,20,否,下架,不能单独购买(需随系列)
9145986,第一次 微积分初步,https://m.weishi100.com/mweb/single/1/?id=9145986,1393276,2024暑高一物理三一集训,精品课程,,2024-08-03 13:00,37,否,下架,不能单独购买(需随系列)
9146104,第一次动量定理 动量守恒,https://m.weishi100.com/mweb/single/1/?id=9146104,1393282,动量和电磁三一集训,精品课程,,2024-08-04 17:50,40,否,下架,不能单独购买(需随系列)
